name,classification,type,tags,description
PDFFile,document-file,line,[],
Picture,document-file,line,[],
PPTFile,document-file,line,[],
PushEmail,document-file,line,[],
PushPicture,document-file,line,[],
QuestionFile,document-file,line,[],
ReadEmailOne,document-file,line,[],
ReadEmailThree,document-file,line,[],
ReadEmailTwo,document-file,line,[],
SearchEmail,document-file,line,[],
SearchFile,document-file,line,[],
SearchFoloder,document-file,line,[],
SearchPicture,document-file,line,[],
SecurityEmail,document-file,line,[],
SendEmail,document-file,line,[],
SendPicture,document-file,line,[],
ShowFile,document-file,line,[],
ShowFoloder,document-file,line,[],
StaffCard,document-file,line,[],
SuccessEmail,document-file,line,[],
TimedEmail,document-file,line,[],
TXTFile,document-file,line,[],
VideoFile,document-file,line,[],
VideoFoloder,document-file,line,[],
XLSFile,document-file,line,[],
ZIPFile,document-file,line,[],
Bankcard,e-commerce,line,[],
Barcode,e-commerce,line,[],
Camera,e-commerce,line,[],
CameraOff,e-commerce,line,[],
Collect,e-commerce,line,[],
Coupon,e-commerce,line,[],
CurrencyExchange,e-commerce,line,[],
Customer,e-commerce,line,[],
Dislike,e-commerce,line,[],
Filter,e-commerce,line,[],
Footsteps,e-commerce,line,[],
Home,e-commerce,line,[],
Like,e-commerce,line,[],
LinkOne,e-commerce,line,[],
Order,e-commerce,line,[],
QRCodeOne,e-commerce,line,[],
QRCodeThree,e-commerce,line,[],
QRCodeTwo,e-commerce,line,[],
Refund,e-commerce,line,[],
ScanCode,e-commerce,line,[],
ShoppingBag,e-commerce,line,[],
ShoppingCart,e-commerce,line,[],
Store,e-commerce,line,[],
Subscription,e-commerce,line,[],
Wallet,e-commerce,line,[],
Apple,kitchen-food,line,[],
Avocado,kitchen-food,line,[],
Banana,kitchen-food,line,[],
Barbecue,kitchen-food,line,[],
BroadBean,kitchen-food,line,[],
Cake,kitchen-food,line,[],
Candy,kitchen-food,line,[],
Carrot,kitchen-food,line,[],
Cheese,kitchen-food,line,[],
Cherry,kitchen-food,line,[],
Chili,kitchen-food,line,[],
Cole,kitchen-food,line,[],
Donut,kitchen-food,line,[],
Egg,kitchen-food,line,[],
Eggplant,kitchen-food,line,[],
Garlic,kitchen-food,line,[],
Hamburger,kitchen-food,line,[],
IceCream,kitchen-food,line,[],
Lemon,kitchen-food,line,[],
Lollipop,kitchen-food,line,[],
Orange,kitchen-food,line,[],
Peach,kitchen-food,line,[],
Pear,kitchen-food,line,[],
Pineapple,kitchen-food,line,[],
Pizza,kitchen-food,line,[],
Pod,kitchen-food,line,[],
Popcorn,kitchen-food,line,[],
Sandwich,kitchen-food,line,[],
Scallion,kitchen-food,line,[],
Tomato,kitchen-food,line,[],
Watermalon,kitchen-food,line,[],
Abdomen,medical-health,line,[],
Anesthesiology,medical-health,line,[],
Bandage,medical-health,line,[],
BloodTransfusion,medical-health,line,[],
Bone,medical-health,line,[],
Brain,medical-health,line,[],
Buttocks,medical-health,line,[],
Dermatology,medical-health,line,[],
EmergencyDepartment,medical-health,line,[],
FemaleChest,medical-health,line,[],
Germs,medical-health,line,[],
Heart,medical-health,line,[],
Laboratory,medical-health,line,[],
Liver,medical-health,line,[],
Lung,medical-health,line,[],
MaleChest,medical-health,line,[],
Neural,medical-health,line,[],
Nose,medical-health,line,[],
NutritionAndHealthDepartment,medical-health,line,[],
OperatingRoom,medical-health,line,[],
Physiotherapy,medical-health,line,[],
PregnantWoman,medical-health,line,[],
Radiology,medical-health,line,[],
Renal,medical-health,line,[],
Tooth,medical-health,line,[],
Uterus,medical-health,line,[],
Film,multimedia,line,[],
HDR,multimedia,line,[],
Loop,multimedia,line,[],
Mic,multimedia,line,[],
MicOff,multimedia,line,[],
Music,multimedia,line,[],
Next,multimedia,line,[],
PauseOne,multimedia,line,[],
PauseTwo,multimedia,line,[],
PlayOne,multimedia,line,[],
PlayTwo,multimedia,line,[],
PlayBack,multimedia,line,[],
PlayForward,multimedia,line,[],
Previous,multimedia,line,[],
Resume,multimedia,line,[],
ShuffleTwo,multimedia,line,[],
SpeakerLoud,multimedia,line,[],
SpeakerModerate,multimedia,line,[],
SpeakerOff,multimedia,line,[],
SpeakerQuite,multimedia,line,[],
Stop,multimedia,line,[],
AddressBook,user-group,line,[],
ErrorUser,user-group,line,[],
IDCard,user-group,line,[],
MinusUser,user-group,line,[],
Passport,user-group,line,[],
PeopleFour,user-group,line,[],
PeopleOne,user-group,line,[],
PeopleThree,user-group,line,[],
PeopleTwo,user-group,line,[],
PlusUser,user-group,line,[],
SearchUser,user-group,line,[],
SuccessUser,user-group,line,[],
UserOne,user-group,line,[],
UserThree,user-group,line,[],
UserTwo,user-group,line,[],
Blizzard,weather-meteorology,line,[],
Celsius,weather-meteorology,line,[],
CloudyOne,weather-meteorology,line,[],
CloudyTwo,weather-meteorology,line,[],
CloudyDaytimeOne,weather-meteorology,line,[],
CloudyDaytimeTwo,weather-meteorology,line,[],
Fahrenheit,weather-meteorology,line,[],
Fog,weather-meteorology,line,[],
Hail,weather-meteorology,line,[],
HeavyRain,weather-meteorology,line,[],
HeavySnow,weather-meteorology,line,[],
Lightning,weather-meteorology,line,[],
LightRain,weather-meteorology,line,[],
LightSnow,weather-meteorology,line,[],
ModerateRain,weather-meteorology,line,[],
ModerateSnow,weather-meteorology,line,[],
Moon,weather-meteorology,line,[],
RainFreezing,weather-meteorology,line,[],
RainShower,weather-meteorology,line,[],
Rainstorm,weather-meteorology,line,[],
Sandstorm,weather-meteorology,line,[],
Sleet,weather-meteorology,line,[],
Smog,weather-meteorology,line,[],
Snowflake,weather-meteorology,line,[],
SnowShower,weather-meteorology,line,[],
Sun,weather-meteorology,line,[],
Sunrise,weather-meteorology,line,[],
Sunset,weather-meteorology,line,[],
Thunderstorm,weather-meteorology,line,[],
Tornado,weather-meteorology,line,[],
Typhoon,weather-meteorology,line,[],
WindOne,weather-meteorology,line,[],
WindThree,weather-meteorology,line,[],
WindTwo,weather-meteorology,line,[],
WindDirection,weather-meteorology,line,[],
